24.3,100-25600,2499
16.3,100-25600,1739
10.2,160-51200,10199
24.3,100-25600,1999
16.0,200-25600,2499
24.3,100-25600,4999
16.0,200-25600,3849
16.0,200-25600,2449
24.2,100-51200,4399
18.84,100-25600,1699
16.0,200-25600,2499
24.3,100-25600,3495
